enfermidade_id,nome,descricao,gravidade,sintomas
53,Hepatite A,Inflamação do fígado causada por vírus. Transmissão fecal-oral. Tem boa recuperação na maioria dos casos.,Grave,"Hepatite fulminante, falência hepática."
61,Hepatite B,Transmitida por fluidos corporais. Pode se tornar crônica e levar a complicações hepáticas. Existe vacina eficaz.,Leve,"Fadiga, mal-estar geral."
62,Hepatite B,Transmitida por fluidos corporais. Pode se tornar crônica e levar a complicações hepáticas. Existe vacina eficaz.,Moderada,"Dor abdominal, icterícia leve."
63,Hepatite B,Transmitida por fluidos corporais. Pode se tornar crônica e levar a complicações hepáticas. Existe vacina eficaz.,Grave,"Cirrose hepática, perda de função do fígado."
64,Hepatite B,Transmitida por fluidos corporais. Pode se tornar crônica e levar a complicações hepáticas. Existe vacina eficaz.,Muito Grave,"Carcinoma hepatocelular, insuficiência hepática."
71,Tuberculose,"Infecção bacteriana, geralmente pulmonar. Transmissão por via aérea. Tratamento prolongado com antibióticos.",Leve,"Infecção latente, sem sintomas."
72,Tuberculose,"Infecção bacteriana, geralmente pulmonar. Transmissão por via aérea. Tratamento prolongado com antibióticos.",Moderada,"Tosse, febre baixa, suor noturno."
73,Tuberculose,"Infecção bacteriana, geralmente pulmonar. Transmissão por via aérea. Tratamento prolongado com antibióticos.",Grave,"Perda de peso, tosse com sangue, fadiga intensa."
74,Tuberculose,"Infecção bacteriana, geralmente pulmonar. Transmissão por via aérea. Tratamento prolongado com antibióticos.",Muito Grave,"Tuberculose multirresistente, falência pulmonar."
81,Malária,Transmitida por mosquito Anopheles. Causa febre cíclica. Pode ser grave se não tratada rapidamente.,Leve,"Febre baixa, calafrios leves."
82,Malária,Transmitida por mosquito Anopheles. Causa febre cíclica. Pode ser grave se não tratada rapidamente.,Moderada,"Febre alta, sudorese, dor muscular."
83,Malária,Transmitida por mosquito Anopheles. Causa febre cíclica. Pode ser grave se não tratada rapidamente.,Grave,"Anemia, complicações hematológicas."
84,Malária,Transmitida por mosquito Anopheles. Causa febre cíclica. Pode ser grave se não tratada rapidamente.,Muito Grave,"Malária cerebral, coma, risco de morte."
91,Febre Amarela,Doença viral transmitida por mosquitos. Prevenção por vacina. Pode causar falência múltipla de órgãos.,Leve,"Febre moderada, dor muscular."
92,Febre Amarela,Doença viral transmitida por mosquitos. Prevenção por vacina. Pode causar falência múltipla de órgãos.,Moderada,"Icterícia, náuseas, vômitos."
93,Febre Amarela,Doença viral transmitida por mosquitos. Prevenção por vacina. Pode causar falência múltipla de órgãos.,Grave,"Hemorragias, insuficiência hepática."
94,Febre Amarela,Doença viral transmitida por mosquitos. Prevenção por vacina. Pode causar falência múltipla de órgãos.,Muito Grave,"Falência múltipla de órgãos, risco de morte."
101,Covid-19,Doença respiratória viral. Pode variar de leve a grave. Transmissão por gotículas e contato direto.,Leve,"Tosse leve, febre baixa, cansaço."
102,Covid-19,Doença respiratória viral. Pode variar de leve a grave. Transmissão por gotículas e contato direto.,Moderada,"Falta de ar, febre alta, dores no corpo."
103,Covid-19,Doença respiratória viral. Pode variar de leve a grave. Transmissão por gotículas e contato direto.,Grave,"Síndrome respiratória aguda, pneumonia."
104,Covid-19,Doença respiratória viral. Pode variar de leve a grave. Transmissão por gotículas e contato direto.,Muito Grave,"Insuficiência respiratória, falência múltipla."
111,HIV/AIDS,"Vírus ataca o sistema imunológico. Sem cura, mas tratável com antirretrovirais. Prevenção é essencial.",Leve,"Febre, fadiga, linfonodos aumentados."
112,HIV/AIDS,"Vírus ataca o sistema imunológico. Sem cura, mas tratável com antirretrovirais. Prevenção é essencial.",Moderada,"Perda de peso, infecções frequentes."
113,HIV/AIDS,"Vírus ataca o sistema imunológico. Sem cura, mas tratável com antirretrovirais. Prevenção é essencial.",Grave,"Doenças oportunistas, fraqueza generalizada."
114,HIV/AIDS,"Vírus ataca o sistema imunológico. Sem cura, mas tratável com antirretrovirais. Prevenção é essencial.",Muito Grave,"Infecções graves, comprometimento imunológico severo."
121,Hanseníase,Doença infecciosa crônica. Afeta nervos e pele. Tratamento é gratuito e eficaz quando iniciado precocemente.,Leve,"Manchas claras na pele, perda de sensibilidade."
122,Hanseníase,Doença infecciosa crônica. Afeta nervos e pele. Tratamento é gratuito e eficaz quando iniciado precocemente.,Moderada,"Dormência, formigamento e fraqueza muscular."
123,Hanseníase,Doença infecciosa crônica. Afeta nervos e pele. Tratamento é gratuito e eficaz quando iniciado precocemente.,Grave,"Feridas nos membros, deformidades físicas."
124,Hanseníase,Doença infecciosa crônica. Afeta nervos e pele. Tratamento é gratuito e eficaz quando iniciado precocemente.,Muito Grave,Incapacidade física permanente.
